produktionsslag	månad	Eltillförsel netto, GWh
vattenkraft (inkl pumpkraft), netto	1983M12	6328
vattenkraft (inkl pumpkraft), netto	1984M01	6541
vattenkraft (inkl pumpkraft), netto	1984M02	6232
vattenkraft (inkl pumpkraft), netto	1984M03	6394
vattenkraft (inkl pumpkraft), netto	1984M04	5101
vattenkraft (inkl pumpkraft), netto	1984M05	5075
vattenkraft (inkl pumpkraft), netto	1984M06	4349
vattenkraft (inkl pumpkraft), netto	1984M07	3955
vattenkraft (inkl pumpkraft), netto	1984M08	4057
vattenkraft (inkl pumpkraft), netto	1984M09	5025
vattenkraft (inkl pumpkraft), netto	1984M10	6483
vattenkraft (inkl pumpkraft), netto	1984M11	6853
vattenkraft (inkl pumpkraft), netto	1984M12	6794
vattenkraft (inkl pumpkraft), netto	1985M01	7317
vattenkraft (inkl pumpkraft), netto	1985M02	6502
vattenkraft (inkl pumpkraft), netto	1985M03	6055
vattenkraft (inkl pumpkraft), netto	1985M04	4556
vattenkraft (inkl pumpkraft), netto	1985M05	4978
vattenkraft (inkl pumpkraft), netto	1985M06	5244
vattenkraft (inkl pumpkraft), netto	1985M07	4347
vattenkraft (inkl pumpkraft), netto	1985M08	5668
vattenkraft (inkl pumpkraft), netto	1985M09	6509
vattenkraft (inkl pumpkraft), netto	1985M10	6004
vattenkraft (inkl pumpkraft), netto	1985M11	6175
vattenkraft (inkl pumpkraft), netto	1985M12	6481
vattenkraft (inkl pumpkraft), netto	1986M01	6715
vattenkraft (inkl pumpkraft), netto	1986M02	6125
vattenkraft (inkl pumpkraft), netto	1986M03	5356
vattenkraft (inkl pumpkraft), netto	1986M04	4713
vattenkraft (inkl pumpkraft), netto	1986M05	5489
vattenkraft (inkl pumpkraft), netto	1986M06	4438
vattenkraft (inkl pumpkraft), netto	1986M07	3480
vattenkraft (inkl pumpkraft), netto	1986M08	3993
vattenkraft (inkl pumpkraft), netto	1986M09	4514
vattenkraft (inkl pumpkraft), netto	1986M10	4222
vattenkraft (inkl pumpkraft), netto	1986M11	4657
vattenkraft (inkl pumpkraft), netto	1986M12	6189
vattenkraft (inkl pumpkraft), netto	1987M01	6838
vattenkraft (inkl pumpkraft), netto	1987M02	5667
vattenkraft (inkl pumpkraft), netto	1987M03	5715
vattenkraft (inkl pumpkraft), netto	1987M04	4188
vattenkraft (inkl pumpkraft), netto	1987M05	5255
vattenkraft (inkl pumpkraft), netto	1987M06	6042
vattenkraft (inkl pumpkraft), netto	1987M07	5860
vattenkraft (inkl pumpkraft), netto	1987M08	6363
vattenkraft (inkl pumpkraft), netto	1987M09	6132
vattenkraft (inkl pumpkraft), netto	1987M10	6383
vattenkraft (inkl pumpkraft), netto	1987M11	6455
vattenkraft (inkl pumpkraft), netto	1987M12	6243
vattenkraft (inkl pumpkraft), netto	1988M01	6701
vattenkraft (inkl pumpkraft), netto	1988M02	6670
vattenkraft (inkl pumpkraft), netto	1988M03	7029
vattenkraft (inkl pumpkraft), netto	1988M04	5356
vattenkraft (inkl pumpkraft), netto	1988M05	5530
vattenkraft (inkl pumpkraft), netto	1988M06	4906
vattenkraft (inkl pumpkraft), netto	1988M07	3806
vattenkraft (inkl pumpkraft), netto	1988M08	5167
vattenkraft (inkl pumpkraft), netto	1988M09	5365
vattenkraft (inkl pumpkraft), netto	1988M10	5773
vattenkraft (inkl pumpkraft), netto	1988M11	6367
vattenkraft (inkl pumpkraft), netto	1988M12	6085
vattenkraft (inkl pumpkraft), netto	1989M01	5689
vattenkraft (inkl pumpkraft), netto	1989M02	5775
vattenkraft (inkl pumpkraft), netto	1989M03	6015
vattenkraft (inkl pumpkraft), netto	1989M04	6089
vattenkraft (inkl pumpkraft), netto	1989M05	6605
vattenkraft (inkl pumpkraft), netto	1989M06	6105
vattenkraft (inkl pumpkraft), netto	1989M07	5662
vattenkraft (inkl pumpkraft), netto	1989M08	6901
vattenkraft (inkl pumpkraft), netto	1989M09	5280
vattenkraft (inkl pumpkraft), netto	1989M10	5253
vattenkraft (inkl pumpkraft), netto	1989M11	5469
vattenkraft (inkl pumpkraft), netto	1989M12	6146
vattenkraft (inkl pumpkraft), netto	1990M01	6427
vattenkraft (inkl pumpkraft), netto	1990M02	5723
vattenkraft (inkl pumpkraft), netto	1990M03	6985
vattenkraft (inkl pumpkraft), netto	1990M04	6205
vattenkraft (inkl pumpkraft), netto	1990M05	5742
vattenkraft (inkl pumpkraft), netto	1990M06	4716
vattenkraft (inkl pumpkraft), netto	1990M07	5539
vattenkraft (inkl pumpkraft), netto	1990M08	5319
vattenkraft (inkl pumpkraft), netto	1990M09	5752
vattenkraft (inkl pumpkraft), netto	1990M10	6144
vattenkraft (inkl pumpkraft), netto	1990M11	6456
vattenkraft (inkl pumpkraft), netto	1990M12	6436
vattenkraft (inkl pumpkraft), netto	1991M01	7060
vattenkraft (inkl pumpkraft), netto	1991M02	6582
vattenkraft (inkl pumpkraft), netto	1991M03	6033
vattenkraft (inkl pumpkraft), netto	1991M04	4705
vattenkraft (inkl pumpkraft), netto	1991M05	4143
vattenkraft (inkl pumpkraft), netto	1991M06	4513
vattenkraft (inkl pumpkraft), netto	1991M07	4874
vattenkraft (inkl pumpkraft), netto	1991M08	4083
vattenkraft (inkl pumpkraft), netto	1991M09	4180
vattenkraft (inkl pumpkraft), netto	1991M10	4823
vattenkraft (inkl pumpkraft), netto	1991M11	5525
vattenkraft (inkl pumpkraft), netto	1991M12	5807
vattenkraft (inkl pumpkraft), netto	1992M01	6297
vattenkraft (inkl pumpkraft), netto	1992M02	6467
vattenkraft (inkl pumpkraft), netto	1992M03	6599
vattenkraft (inkl pumpkraft), netto	1992M04	5836
vattenkraft (inkl pumpkraft), netto	1992M05	6305
vattenkraft (inkl pumpkraft), netto	1992M06	5150
vattenkraft (inkl pumpkraft), netto	1992M07	4772
vattenkraft (inkl pumpkraft), netto	1992M08	6428
vattenkraft (inkl pumpkraft), netto	1992M09	6200
vattenkraft (inkl pumpkraft), netto	1992M10	6618
vattenkraft (inkl pumpkraft), netto	1992M11	6088
vattenkraft (inkl pumpkraft), netto	1992M12	6450
vattenkraft (inkl pumpkraft), netto	1993M01	6755
vattenkraft (inkl pumpkraft), netto	1993M02	5799
vattenkraft (inkl pumpkraft), netto	1993M03	5605
vattenkraft (inkl pumpkraft), netto	1993M04	4705
vattenkraft (inkl pumpkraft), netto	1993M05	5937
vattenkraft (inkl pumpkraft), netto	1993M06	5539
vattenkraft (inkl pumpkraft), netto	1993M07	6107
vattenkraft (inkl pumpkraft), netto	1993M08	7550
vattenkraft (inkl pumpkraft), netto	1993M09	6371
vattenkraft (inkl pumpkraft), netto	1993M10	6250
vattenkraft (inkl pumpkraft), netto	1993M11	6335
vattenkraft (inkl pumpkraft), netto	1993M12	6310
vattenkraft (inkl pumpkraft), netto	1994M01	6162
vattenkraft (inkl pumpkraft), netto	1994M02	6402
vattenkraft (inkl pumpkraft), netto	1994M03	5628
vattenkraft (inkl pumpkraft), netto	1994M04	4422
vattenkraft (inkl pumpkraft), netto	1994M05	5430
vattenkraft (inkl pumpkraft), netto	1994M06	4477
vattenkraft (inkl pumpkraft), netto	1994M07	3963
vattenkraft (inkl pumpkraft), netto	1994M08	4141
vattenkraft (inkl pumpkraft), netto	1994M09	3689
vattenkraft (inkl pumpkraft), netto	1994M10	3905
vattenkraft (inkl pumpkraft), netto	1994M11	4506
vattenkraft (inkl pumpkraft), netto	1994M12	5158
vattenkraft (inkl pumpkraft), netto	1995M01	5579
vattenkraft (inkl pumpkraft), netto	1995M02	5218
vattenkraft (inkl pumpkraft), netto	1995M03	5787
vattenkraft (inkl pumpkraft), netto	1995M04	4732
vattenkraft (inkl pumpkraft), netto	1995M05	5923
vattenkraft (inkl pumpkraft), netto	1995M06	6850
vattenkraft (inkl pumpkraft), netto	1995M07	5638
vattenkraft (inkl pumpkraft), netto	1995M08	5152
vattenkraft (inkl pumpkraft), netto	1995M09	4818
vattenkraft (inkl pumpkraft), netto	1995M10	4446
vattenkraft (inkl pumpkraft), netto	1995M11	5905
vattenkraft (inkl pumpkraft), netto	1995M12	6971
vattenkraft (inkl pumpkraft), netto	1996M01	5682
vattenkraft (inkl pumpkraft), netto	1996M02	5348
vattenkraft (inkl pumpkraft), netto	1996M03	4411
vattenkraft (inkl pumpkraft), netto	1996M04	3117
vattenkraft (inkl pumpkraft), netto	1996M05	3531
vattenkraft (inkl pumpkraft), netto	1996M06	3831
vattenkraft (inkl pumpkraft), netto	1996M07	3949
vattenkraft (inkl pumpkraft), netto	1996M08	3874
vattenkraft (inkl pumpkraft), netto	1996M09	3588
vattenkraft (inkl pumpkraft), netto	1996M10	3298
vattenkraft (inkl pumpkraft), netto	1996M11	4540
vattenkraft (inkl pumpkraft), netto	1996M12	5782
vattenkraft (inkl pumpkraft), netto	1997M01	6286
vattenkraft (inkl pumpkraft), netto	1997M02	5874
vattenkraft (inkl pumpkraft), netto	1997M03	5761
vattenkraft (inkl pumpkraft), netto	1997M04	5059
vattenkraft (inkl pumpkraft), netto	1997M05	6139
vattenkraft (inkl pumpkraft), netto	1997M06	5986
vattenkraft (inkl pumpkraft), netto	1997M07	5833
vattenkraft (inkl pumpkraft), netto	1997M08	5293
vattenkraft (inkl pumpkraft), netto	1997M09	5244
vattenkraft (inkl pumpkraft), netto	1997M10	5917
vattenkraft (inkl pumpkraft), netto	1997M11	5622
vattenkraft (inkl pumpkraft), netto	1997M12	5258
vattenkraft (inkl pumpkraft), netto	1998M01	5318
vattenkraft (inkl pumpkraft), netto	1998M02	5319
vattenkraft (inkl pumpkraft), netto	1998M03	6032
vattenkraft (inkl pumpkraft), netto	1998M04	5264
vattenkraft (inkl pumpkraft), netto	1998M05	6038
vattenkraft (inkl pumpkraft), netto	1998M06	5566
vattenkraft (inkl pumpkraft), netto	1998M07	6463
vattenkraft (inkl pumpkraft), netto	1998M08	7296
vattenkraft (inkl pumpkraft), netto	1998M09	6507
vattenkraft (inkl pumpkraft), netto	1998M10	6155
vattenkraft (inkl pumpkraft), netto	1998M11	7059
vattenkraft (inkl pumpkraft), netto	1998M12	6603
vattenkraft (inkl pumpkraft), netto	1999M01	6894
vattenkraft (inkl pumpkraft), netto	1999M02	6204
vattenkraft (inkl pumpkraft), netto	1999M03	6765
vattenkraft (inkl pumpkraft), netto	1999M04	5854
vattenkraft (inkl pumpkraft), netto	1999M05	6267
vattenkraft (inkl pumpkraft), netto	1999M06	6053
vattenkraft (inkl pumpkraft), netto	1999M07	5161
vattenkraft (inkl pumpkraft), netto	1999M08	4834
vattenkraft (inkl pumpkraft), netto	1999M09	5041
vattenkraft (inkl pumpkraft), netto	1999M10	5484
vattenkraft (inkl pumpkraft), netto	1999M11	5274
vattenkraft (inkl pumpkraft), netto	1999M12	6507
vattenkraft (inkl pumpkraft), netto	2000M01	6176
vattenkraft (inkl pumpkraft), netto	2000M02	6150
vattenkraft (inkl pumpkraft), netto	2000M03	6059
vattenkraft (inkl pumpkraft), netto	2000M04	5518
vattenkraft (inkl pumpkraft), netto	2000M05	6418
vattenkraft (inkl pumpkraft), netto	2000M06	5624
vattenkraft (inkl pumpkraft), netto	2000M07	7231
vattenkraft (inkl pumpkraft), netto	2000M08	7642
vattenkraft (inkl pumpkraft), netto	2000M09	6224
vattenkraft (inkl pumpkraft), netto	2000M10	6120
vattenkraft (inkl pumpkraft), netto	2000M11	7063
vattenkraft (inkl pumpkraft), netto	2000M12	7622
vattenkraft (inkl pumpkraft), netto	2001M01	7817
vattenkraft (inkl pumpkraft), netto	2001M02	7041
vattenkraft (inkl pumpkraft), netto	2001M03	7285
vattenkraft (inkl pumpkraft), netto	2001M04	5608
vattenkraft (inkl pumpkraft), netto	2001M05	6109
vattenkraft (inkl pumpkraft), netto	2001M06	5104
vattenkraft (inkl pumpkraft), netto	2001M07	5681
vattenkraft (inkl pumpkraft), netto	2001M08	6465
vattenkraft (inkl pumpkraft), netto	2001M09	7371
vattenkraft (inkl pumpkraft), netto	2001M10	6475
vattenkraft (inkl pumpkraft), netto	2001M11	6461
vattenkraft (inkl pumpkraft), netto	2001M12	7036
vattenkraft (inkl pumpkraft), netto	2002M01	7162
vattenkraft (inkl pumpkraft), netto	2002M02	6299
vattenkraft (inkl pumpkraft), netto	2002M03	7018
vattenkraft (inkl pumpkraft), netto	2002M04	6682
vattenkraft (inkl pumpkraft), netto	2002M05	6299
vattenkraft (inkl pumpkraft), netto	2002M06	4722
vattenkraft (inkl pumpkraft), netto	2002M07	4987
vattenkraft (inkl pumpkraft), netto	2002M08	4730
vattenkraft (inkl pumpkraft), netto	2002M09	3966
vattenkraft (inkl pumpkraft), netto	2002M10	4862
vattenkraft (inkl pumpkraft), netto	2002M11	4997
vattenkraft (inkl pumpkraft), netto	2002M12	4325
vattenkraft (inkl pumpkraft), netto	2003M01	5285
vattenkraft (inkl pumpkraft), netto	2003M02	4805
vattenkraft (inkl pumpkraft), netto	2003M03	4269
vattenkraft (inkl pumpkraft), netto	2003M04	3959
vattenkraft (inkl pumpkraft), netto	2003M05	4636
vattenkraft (inkl pumpkraft), netto	2003M06	4280
vattenkraft (inkl pumpkraft), netto	2003M07	3502
vattenkraft (inkl pumpkraft), netto	2003M08	3363
vattenkraft (inkl pumpkraft), netto	2003M09	3786
vattenkraft (inkl pumpkraft), netto	2003M10	4782
vattenkraft (inkl pumpkraft), netto	2003M11	4944
vattenkraft (inkl pumpkraft), netto	2003M12	5365
vattenkraft (inkl pumpkraft), netto	2004M01	6028
vattenkraft (inkl pumpkraft), netto	2004M02	5603
vattenkraft (inkl pumpkraft), netto	2004M03	5241
vattenkraft (inkl pumpkraft), netto	2004M04	4318
vattenkraft (inkl pumpkraft), netto	2004M05	4484
vattenkraft (inkl pumpkraft), netto	2004M06	2645
vattenkraft (inkl pumpkraft), netto	2004M07	4497
vattenkraft (inkl pumpkraft), netto	2004M08	4065
vattenkraft (inkl pumpkraft), netto	2004M09	4495
vattenkraft (inkl pumpkraft), netto	2004M10	5610
vattenkraft (inkl pumpkraft), netto	2004M11	5951
vattenkraft (inkl pumpkraft), netto	2004M12	6593
vattenkraft (inkl pumpkraft), netto	2005M01	7036
vattenkraft (inkl pumpkraft), netto	2005M02	6568
vattenkraft (inkl pumpkraft), netto	2005M03	6296
vattenkraft (inkl pumpkraft), netto	2005M04	5293
vattenkraft (inkl pumpkraft), netto	2005M05	5675
vattenkraft (inkl pumpkraft), netto	2005M06	5320
vattenkraft (inkl pumpkraft), netto	2005M07	4660
vattenkraft (inkl pumpkraft), netto	2005M08	5990
vattenkraft (inkl pumpkraft), netto	2005M09	5956
vattenkraft (inkl pumpkraft), netto	2005M10	6011
vattenkraft (inkl pumpkraft), netto	2005M11	6290
vattenkraft (inkl pumpkraft), netto	2005M12	7048
vattenkraft (inkl pumpkraft), netto	2006M01	7115
vattenkraft (inkl pumpkraft), netto	2006M02	6199
vattenkraft (inkl pumpkraft), netto	2006M03	6190
vattenkraft (inkl pumpkraft), netto	2006M04	4637
vattenkraft (inkl pumpkraft), netto	2006M05	5239
vattenkraft (inkl pumpkraft), netto	2006M06	3863
vattenkraft (inkl pumpkraft), netto	2006M07	3023
vattenkraft (inkl pumpkraft), netto	2006M08	3697
vattenkraft (inkl pumpkraft), netto	2006M09	4055
vattenkraft (inkl pumpkraft), netto	2006M10	4733
vattenkraft (inkl pumpkraft), netto	2006M11	5681
vattenkraft (inkl pumpkraft), netto	2006M12	6746
vattenkraft (inkl pumpkraft), netto	2007M01	7286
vattenkraft (inkl pumpkraft), netto	2007M02	7096
vattenkraft (inkl pumpkraft), netto	2007M03	6742
vattenkraft (inkl pumpkraft), netto	2007M04	5830
vattenkraft (inkl pumpkraft), netto	2007M05	5817
vattenkraft (inkl pumpkraft), netto	2007M06	5193
vattenkraft (inkl pumpkraft), netto	2007M07	4290
vattenkraft (inkl pumpkraft), netto	2007M08	4684
vattenkraft (inkl pumpkraft), netto	2007M09	3946
vattenkraft (inkl pumpkraft), netto	2007M10	4265
vattenkraft (inkl pumpkraft), netto	2007M11	4962
vattenkraft (inkl pumpkraft), netto	2007M12	5418
vattenkraft (inkl pumpkraft), netto	2008M01	7149
vattenkraft (inkl pumpkraft), netto	2008M02	6832
vattenkraft (inkl pumpkraft), netto	2008M03	6763
vattenkraft (inkl pumpkraft), netto	2008M04	5849
vattenkraft (inkl pumpkraft), netto	2008M05	6472
vattenkraft (inkl pumpkraft), netto	2008M06	5364
vattenkraft (inkl pumpkraft), netto	2008M07	4129
vattenkraft (inkl pumpkraft), netto	2008M08	4104
vattenkraft (inkl pumpkraft), netto	2008M09	4495
vattenkraft (inkl pumpkraft), netto	2008M10	5245
vattenkraft (inkl pumpkraft), netto	2008M11	5705
vattenkraft (inkl pumpkraft), netto	2008M12	6321
vattenkraft (inkl pumpkraft), netto	2009M01	6319
vattenkraft (inkl pumpkraft), netto	2009M02	6051
vattenkraft (inkl pumpkraft), netto	2009M03	5793
vattenkraft (inkl pumpkraft), netto	2009M04	4548
vattenkraft (inkl pumpkraft), netto	2009M05	4954
vattenkraft (inkl pumpkraft), netto	2009M06	4165
vattenkraft (inkl pumpkraft), netto	2009M07	4171
vattenkraft (inkl pumpkraft), netto	2009M08	5390
vattenkraft (inkl pumpkraft), netto	2009M09	5514
vattenkraft (inkl pumpkraft), netto	2009M10	5916
vattenkraft (inkl pumpkraft), netto	2009M11	5659
vattenkraft (inkl pumpkraft), netto	2009M12	6769
vattenkraft (inkl pumpkraft), netto	2010M01	7273
vattenkraft (inkl pumpkraft), netto	2010M02	6277
vattenkraft (inkl pumpkraft), netto	2010M03	4904
vattenkraft (inkl pumpkraft), netto	2010M04	3795
vattenkraft (inkl pumpkraft), netto	2010M05	5597
vattenkraft (inkl pumpkraft), netto	2010M06	5362
vattenkraft (inkl pumpkraft), netto	2010M07	4957
vattenkraft (inkl pumpkraft), netto	2010M08	5274
vattenkraft (inkl pumpkraft), netto	2010M09	4739
vattenkraft (inkl pumpkraft), netto	2010M10	5786
vattenkraft (inkl pumpkraft), netto	2010M11	6133
vattenkraft (inkl pumpkraft), netto	2010M12	6118
vattenkraft (inkl pumpkraft), netto	2011M01	5469
vattenkraft (inkl pumpkraft), netto	2011M02	5460
vattenkraft (inkl pumpkraft), netto	2011M03	4107
vattenkraft (inkl pumpkraft), netto	2011M04	4524
vattenkraft (inkl pumpkraft), netto	2011M05	4231
vattenkraft (inkl pumpkraft), netto	2011M06	5168
vattenkraft (inkl pumpkraft), netto	2011M07	4078
vattenkraft (inkl pumpkraft), netto	2011M08	5630
vattenkraft (inkl pumpkraft), netto	2011M09	7210
vattenkraft (inkl pumpkraft), netto	2011M10	7064
vattenkraft (inkl pumpkraft), netto	2011M11	6266
vattenkraft (inkl pumpkraft), netto	2011M12	6815
vattenkraft (inkl pumpkraft), netto	2012M01	7180
vattenkraft (inkl pumpkraft), netto	2012M02	7092
vattenkraft (inkl pumpkraft), netto	2012M03	6890
vattenkraft (inkl pumpkraft), netto	2012M04	6507
vattenkraft (inkl pumpkraft), netto	2012M05	6707
vattenkraft (inkl pumpkraft), netto	2012M06	6156
vattenkraft (inkl pumpkraft), netto	2012M07	5847
vattenkraft (inkl pumpkraft), netto	2012M08	6074
vattenkraft (inkl pumpkraft), netto	2012M09	5381
vattenkraft (inkl pumpkraft), netto	2012M10	6699
vattenkraft (inkl pumpkraft), netto	2012M11	6244
vattenkraft (inkl pumpkraft), netto	2012M12	7224
vattenkraft (inkl pumpkraft), netto	2013M01	7272
vattenkraft (inkl pumpkraft), netto	2013M02	6463
vattenkraft (inkl pumpkraft), netto	2013M03	6117
vattenkraft (inkl pumpkraft), netto	2013M04	4578
vattenkraft (inkl pumpkraft), netto	2013M05	5215
vattenkraft (inkl pumpkraft), netto	2013M06	3627
vattenkraft (inkl pumpkraft), netto	2013M07	3609
vattenkraft (inkl pumpkraft), netto	2013M08	4169
vattenkraft (inkl pumpkraft), netto	2013M09	4916
vattenkraft (inkl pumpkraft), netto	2013M10	5051
vattenkraft (inkl pumpkraft), netto	2013M11	4780
vattenkraft (inkl pumpkraft), netto	2013M12	5175
vattenkraft (inkl pumpkraft), netto	2014M01	6915
vattenkraft (inkl pumpkraft), netto	2014M02	6386
vattenkraft (inkl pumpkraft), netto	2014M03	6867
vattenkraft (inkl pumpkraft), netto	2014M04	6005
vattenkraft (inkl pumpkraft), netto	2014M05	5746
vattenkraft (inkl pumpkraft), netto	2014M06	5410
vattenkraft (inkl pumpkraft), netto	2014M07	3547
vattenkraft (inkl pumpkraft), netto	2014M08	3835
vattenkraft (inkl pumpkraft), netto	2014M09	4188
vattenkraft (inkl pumpkraft), netto	2014M10	4262
vattenkraft (inkl pumpkraft), netto	2014M11	5362
vattenkraft (inkl pumpkraft), netto	2014M12	5679
vattenkraft (inkl pumpkraft), netto	2015M01	6049
vattenkraft (inkl pumpkraft), netto	2015M02	6158
vattenkraft (inkl pumpkraft), netto	2015M03	6573
vattenkraft (inkl pumpkraft), netto	2015M04	5586
vattenkraft (inkl pumpkraft), netto	2015M05	6433
vattenkraft (inkl pumpkraft), netto	2015M06	6503
